id	target_verse	token
 019002004015	019002004	deride
 019002004016	019002004	them
 019002004017	019002004	.
 019002005001	019002005	then
 019002005002	019002005	shall
 019002005003	019002005	he
 019002005004	019002005	speak
 019002005005	019002005	to
 019002005006	019002005	them
 019002005007	019002005	in
 019002005008	019002005	his
 019002005009	019002005	anger
 019002005010	019002005	,
 019002005011	019002005	and
 019002005012	019002005	trouble
 019002005013	019002005	them
 019002005014	019002005	in
 019002005015	019002005	his
 019002005016	019002005	rage
 019002005017	019002005	.
 019002006001	019002006	but
 019002006002	019002006	i
 019002006003	019002006	am
 019002006004	019002006	appointed
 019002006005	019002006	king
 019002006006	019002006	by
 019002006007	019002006	him
 019002006008	019002006	over
 019002006009	019002006	sion
 019002006010	019002006	his
 019002006011	019002006	holy
 019002006012	019002006	mountain
 019002006013	019002006	,
 019002006014	019002006	preaching
 019002006015	019002006	his
 019002006016	019002006	commandment
 019002006017	019002006	.
 019002007001	019002007	the
 019002007002	019002007	lord
 019002007003	019002007	hath
 019002007004	019002007	said
 019002007005	019002007	to
 019002007006	019002007	me
 019002007007	019002007	:
 019002007008	019002007	thou
 019002007009	019002007	art
 019002007010	019002007	my
 019002007011	019002007	son
 019002007012	019002007	,
 019002007013	019002007	this
 019002007014	019002007	day
 019002007015	019002007	have
 019002007016	019002007	i
 019002007017	019002007	begotten
 019002007018	019002007	thee
 019002007019	019002007	.
 019002008001	019002008	ask
 019002008002	019002008	of
 019002008003	019002008	me
 019002008004	019002008	,
 019002008005	019002008	and
 019002008006	019002008	i
 019002008007	019002008	will
 019002008008	019002008	give
 019002008009	019002008	thee
 019002008010	019002008	the
 019002008011	019002008	gentiles
 019002008012	019002008	for
 019002008013	019002008	thy
 019002008014	019002008	inheritance
 019002008015	019002008	,
 019002008016	019002008	and
 019002008017	019002008	the
 019002008018	019002008	utmost
 019002008019	019002008	parts
 019002008020	019002008	of
 019002008021	019002008	the
 019002008022	019002008	earth
 019002008023	019002008	for
 019002008024	019002008	thy
 019002008025	019002008	possession
 019002008026	019002008	.
 019002009001	019002009	thou
 019002009002	019002009	shalt
 019002009003	019002009	rule
 019002009004	019002009	them
 019002009005	019002009	with
 019002009006	019002009	a
 019002009007	019002009	rod
 019002009008	019002009	of
 019002009009	019002009	iron
 019002009010	019002009	,
 019002009011	019002009	and
 019002009012	019002009	shalt
 019002009013	019002009	break
 019002009014	019002009	them
 019002009015	019002009	in
 019002009016	019002009	pieces
 019002009017	019002009	like
 019002009018	019002009	a
 019002009019	019002009	potter’s
 019002009020	019002009	vessel
 019002009021	019002009	.
 019002010001	019002010	and
 019002010002	019002010	now
 019002010003	019002010	,
 019002010004	019002010	o
 019002010005	019002010	ye
 019002010006	019002010	kings
 019002010007	019002010	,
 019002010008	019002010	understand
 019002010009	019002010	:
 019002010010	019002010	receive
 019002010011	019002010	instruction
 019002010012	019002010	,
 019002010013	019002010	you
 019002010014	019002010	that
 019002010015	019002010	judge
 019002010016	019002010	the
 019002010017	019002010	earth
 019002010018	019002010	.
 019002011001	019002011	serve
 019002011002	019002011	ye
 019002011003	019002011	the
 019002011004	019002011	lord
 019002011005	019002011	with
 019002011006	019002011	fear
 019002011007	019002011	:
 019002011008	019002011	and
 019002011009	019002011	rejoice
 019002011010	019002011	unto
 019002011011	019002011	him
 019002011012	019002011	with
 019002011013	019002011	trembling
 019002011014	019002011	.
 019002012001	019002012	embrace
 019002012002	019002012	discipline
 019002012003	019002012	,
 019002012004	019002012	lest
 019002012005	019002012	at
 019002012006	019002012	any
 019002012007	019002012	time
 019002012008	019002012	the
 019002012009	019002012	lord
 019002012010	019002012	be
 019002012011	019002012	angry
 019002012012	019002012	,
 019002012013	019002012	and
 019002012014	019002012	you
 019002012015	019002012	perish
 019002012016	019002012	from
 019002012017	019002012	the
 019002012018	019002012	just
 019002012019	019002012	way
 019002012020	019002012	.
 019002012001	019002013	when
 019002012002	019002013	his
 019002012003	019002013	wrath
 019002012004	019002013	shall
 019002012005	019002013	be
 019002012006	019002013	kindled
 019002012007	019002013	in
 019002012008	019002013	a
 019002012009	019002013	short
 019002012010	019002013	time
 019002012011	019002013	,
 019002012012	019002013	blessed
 019002012013	019002013	are
 019002012014	019002013	all
 019002012015	019002013	they
 019002012016	019002013	that
 019002012017	019002013	trust
 019002012018	019002013	in
 019002012019	019002013	him
 019002012020	019002013	.
 019003001001	019003001	the
 019003001002	019003001	psalm
 019003001003	019003001	of
 019003001004	019003001	david
 019003001005	019003001	when
 019003001006	019003001	he
 019003001007	019003001	fled
 019003001008	019003001	from
 019003001009	019003001	the
 019003001010	019003001	face
 019003001011	019003001	of
 019003001012	019003001	his
 019003001013	019003001	son
 019003001014	019003001	absalom
 019003001015	019003001	.
 019003002001	019003002	why
 019003002002	019003002	,
 019003002003	019003002	o
 019003002004	019003002	lord
 019003002005	019003002	,
 019003002006	019003002	are
 019003002007	019003002	they
 019003002008	019003002	multiplied
 019003002009	019003002	that
 019003002010	019003002	afflict
 019003002011	019003002	me
 019003002012	019003002	?
 019003002013	019003002	many
 019003002014	019003002	are
 019003002015	019003002	they
 019003002016	019003002	who
 019003002017	019003002	rise
 019003002018	019003002	up
 019003002019	019003002	against
 019003002020	019003002	me
 019003002021	019003002	.
 019003003001	019003003	many
 019003003002	019003003	say
 019003003003	019003003	to
 019003003004	019003003	my
 019003003005	019003003	soul
 019003003006	019003003	:
 019003003007	019003003	there
 019003003008	019003003	is
 019003003009	019003003	no
 019003003010	019003003	salvation
 019003003011	019003003	for
 019003003012	019003003	him
 019003003013	019003003	in
 019003003014	019003003	his
 019003003015	019003003	god
 019003003016	019003003	.
 019003004001	019003004	but
 019003004002	019003004	thou
 019003004003	019003004	,
 019003004004	019003004	o
 019003004005	019003004	lord
 019003004006	019003004	art
 019003004007	019003004	my
 019003004008	019003004	protector
 019003004009	019003004	,
 019003004010	019003004	my
 019003004011	019003004	glory
 019003004012	019003004	,
 019003004013	019003004	and
 019003004014	019003004	the
 019003004015	019003004	lifter
 019003004016	019003004	up
 019003004017	019003004	of
 019003004018	019003004	my
 019003004019	019003004	head
 019003004020	019003004	.
 019003005001	019003005	i
 019003005002	019003005	have
 019003005003	019003005	cried
 019003005004	019003005	to
 019003005005	019003005	the
 019003005006	019003005	lord
 019003005007	019003005	with
 019003005008	019003005	my
 019003005009	019003005	voice
 019003005010	019003005	:
 019003005011	019003005	and
 019003005012	019003005	he
 019003005013	019003005	hath
 019003005014	019003005	heard
 019003005015	019003005	me
 019003005016	019003005	from
 019003005017	019003005	his
 019003005018	019003005	holy
 019003005019	019003005	hill
 019003005020	019003005	.
 019003006001	019003006	i
 019003006002	019003006	have
 019003006003	019003006	slept
 019003006004	019003006	and
 019003006005	019003006	taken
 019003006006	019003006	my
 019003006007	019003006	rest
 019003006008	019003006	:
 019003006009	019003006	and
 019003006010	019003006	i
 019003006011	019003006	have
 019003006012	019003006	risen
 019003006013	019003006	up
 019003006014	019003006	,
 019003006015	019003006	because
 019003006016	019003006	the
 019003006017	019003006	lord
 019003006018	019003006	hath
 019003006019	019003006	protected
 019003006020	019003006	me
 019003006021	019003006	.
 019003007001	019003007	i
 019003007002	019003007	will
 019003007003	019003007	not
 019003007004	019003007	fear
 019003007005	019003007	thousands
 019003007006	019003007	of
 019003007007	019003007	the
 019003007008	019003007	people
 019003007009	019003007	,
 019003007010	019003007	surrounding
 019003007011	019003007	me
 019003007012	019003007	:
 019003007013	019003007	arise
 019003007014	019003007	,
 019003007015	019003007	o
 019003007016	019003007	lord
 019003007017	019003007	;
 019003007018	019003007	save
 019003007019	019003007	me
 019003007020	019003007	,
 019003007021	019003007	o
 019003007022	019003007	my
 019003007023	019003007	god
 019003007024	019003007	.
 019003008001	019003008	for
 019003008002	019003008	thou
 019003008003	019003008	hast
 019003008004	019003008	struck
 019003008005	019003008	all
 019003008006	019003008	them
 019003008007	019003008	who
 019003008008	019003008	are
 019003008009	019003008	my
 019003008010	019003008	adversaries
 019003008011	019003008	without
 019003008012	019003008	cause
 019003008013	019003008	:
 019003008014	019003008	thou
 019003008015	019003008	hast
 019003008016	019003008	broken
 019003008017	019003008	the
 019003008018	019003008	teeth
 019003008019	019003008	of
 019003008020	019003008	sinners
 019003008021	019003008	.
 019003009001	019003009	salvation
 019003009002	019003009	is
 019003009003	019003009	of
 019003009004	019003009	the
 019003009005	019003009	lord
 019003009006	019003009	:
 019003009007	019003009	and
 019003009008	019003009	thy
 019003009009	019003009	blessing
 019003009010	019003009	is
 019003009011	019003009	upon
 019003009012	019003009	thy
 019003009013	019003009	people
 019003009014	019003009	.
 019004001001	019004001	unto
 019004001002	019004001	the
 019004001003	019004001	end
 019004001004	019004001	,
 019004001005	019004001	in
 019004001006	019004001	verses
 019004001007	019004001	.
 019004001008	019004001	a
 019004001009	019004001	psalm
 019004001010	019004001	for
 019004001011	019004001	david
 019004001012	019004001	.
 019004002001	019004002	when
 019004002002	019004002	i
 019004002003	019004002	called
 019004002004	019004002	upon
 019004002005	019004002	him
 019004002006	019004002	,
 019004002007	019004002	the
 019004002008	019004002	god
 019004002009	019004002	of
 019004002010	019004002	my
 019004002011	019004002	justice
 019004002012	019004002	heard
 019004002013	019004002	me
 019004002014	019004002	:
 019004002015	019004002	when
 019004002016	019004002	i
 019004002017	019004002	was
 019004002018	019004002	in
 019004002019	019004002	distress
 019004002020	019004002	,
 019004002021	019004002	thou
 019004002022	019004002	hast
 019004002023	019004002	enlarged
 019004002024	019004002	me
 019004002025	019004002	.
 019004002026	019004002	have
 019004002027	019004002	mercy
 019004002028	019004002	on
 019004002029	019004002	me
 019004002030	019004002	:
 019004002031	019004002	and
 019004002032	019004002	hear
 019004002033	019004002	my
 019004002034	019004002	prayer
 019004002035	019004002	.
 019004003001	019004003	o
 019004003002	019004003	ye
 019004003003	019004003	sons
 019004003004	019004003	of
 019004003005	019004003	men
 019004003006	019004003	,
 019004003007	019004003	how
 019004003008	019004003	long
 019004003009	019004003	will
 019004003010	019004003	you
 019004003011	019004003	be
 019004003012	019004003	dull
 019004003013	019004003	of
 019004003014	019004003	heart
 019004003015	019004003	?
 019004003016	019004003	why
 019004003017	019004003	do
 019004003018	019004003	you
 019004003019	019004003	love
 019004003020	019004003	vanity
 019004003021	019004003	,
 019004003022	019004003	and
 019004003023	019004003	seek
 019004003024	019004003	after
 019004003025	019004003	lying
 019004003026	019004003	?
 019004004001	019004004	know
 019004004002	019004004	ye
 019004004003	019004004	also
 019004004004	019004004	that
 019004004005	019004004	the
 019004004006	019004004	lord
 019004004007	019004004	hath
 019004004008	019004004	made
 019004004009	019004004	his
